MISS .claude/skills/hns-  deployed=False template=False
MISS .claude/skills/moai-  deployed=False template=False
OK   .claude/skills/moai-domain-svg-infographic/scripts/check-svg.mjs  deployed=True template=True
OK   .claude/skills/moai-domain-svg-infographic/scripts/render.mjs  deployed=True template=True
OK   .claude/skills/moai-workflow-project/scripts/navigator-audit.sh  deployed=True template=True
OK   .claude/skills/moai-workflow-project/scripts/navigator-regen.sh  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/modules/INDEX.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/modules/ai-debugging.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/modules/automated-code-review.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/modules/performance-optimization.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/modules/smart-refactoring.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/references/integration-patterns.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/references/multi-language-support.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/references/playwright-best-practices.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/references/pr-review-multi-agent.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/references/trust5-framework.md  deployed=True template=True
OK   .claude/skills/moai-workflow-testing/references/workflow-processes.md  deployed=True template=True
OK   .claude/skills/moai/workflows/clean.md  deployed=True template=True
OK   .claude/skills/moai/workflows/codemaps.md  deployed=True template=True
OK   .claude/skills/moai/workflows/e2e.md  deployed=True template=True
OK   .claude/skills/moai/workflows/feedback.md  deployed=True template=True
OK   .claude/skills/moai/workflows/fix.md  deployed=True template=True
OK   .claude/skills/moai/workflows/gate.md  deployed=True template=True
OK   .claude/skills/moai/workflows/goal.md  deployed=True template=True
OK   .claude/skills/moai/workflows/harness-build-entry.md  deployed=True template=True
OK   .claude/skills/moai/workflows/harness-builder.md  deployed=True template=True
OK   .claude/skills/moai/workflows/harness.md  deployed=True template=True
OK   .claude/skills/moai/workflows/loop.md  deployed=True template=True
OK   .claude/skills/moai/workflows/moai.md  deployed=True template=True
OK   .claude/skills/moai/workflows/mx.md  deployed=True template=True
OK   .claude/skills/moai/workflows/plan.md  deployed=True template=True
OK   .claude/skills/moai/workflows/project.md  deployed=True template=True
OK   .claude/skills/moai/workflows/review.md  deployed=True template=True
OK   .claude/skills/moai/workflows/run.md  deployed=True template=True
OK   .claude/skills/moai/workflows/sync.md  deployed=True template=True
OK   .claude/skills/moai/workflows/todo.md  deployed=True template=True

resolved-in-both=34  unresolved=2  total=36
