ok  	github.com/modu-ai/moai-adk/internal/cli	335.057s
ok  	github.com/modu-ai/moai-adk/internal/cli/agentlint	4.132s
ok  	github.com/modu-ai/moai-adk/internal/cli/harness	10.141s
ok  	github.com/modu-ai/moai-adk/internal/cli/pr	2.186s
ok  	github.com/modu-ai/moai-adk/internal/cli/preference	2.710s
ok  	github.com/modu-ai/moai-adk/internal/cli/printer	6.353s
ok  	github.com/modu-ai/moai-adk/internal/cli/specid	4.877s
ok  	github.com/modu-ai/moai-adk/internal/cli/taskledger	2.887s
ok  	github.com/modu-ai/moai-adk/internal/cli/uikit	5.738s
ok  	github.com/modu-ai/moai-adk/internal/cli/update	1.042s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/backup	5.465s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/deploy	3.766s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/merge	4.571s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/plan	6.436s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/report	2.538s
ok  	github.com/modu-ai/moai-adk/internal/cli/wizard	4.241s
ok  	github.com/modu-ai/moai-adk/internal/cli/worktree	8.885s
