cited_path	first_citing_doc	resolves_in_primary	resolves_in_worktree
.moai/state/verify/4cd38714/pr1526-gotest-full.log:889:	.moai/reports/backlog/t21-kanban-runid-investigation.md	False	False
.moai/state/verify/SPEC-HUMANIZE-002	.moai/reports/sync-audit/SPEC-HUMANIZE-002-sync-audit.md	False	False
.moai/state/verify/t119/cli-full-rebased.log	.moai/reports/t119/verdict.md	False	False
.moai/state/verify/t153/cli-full.log	.moai/reports/t153/verdict.md	False	False
.moai/state/verify/t209	.moai/reports/t209/plan-audit-iter2.md	False	False
.moai/state/verify/t209/\n…	.moai/reports/t209/sync-audit-iter2.md	False	False
.moai/state/verify/t209/ac-results.txt	.moai/reports/t209/sync-audit.md	False	False
.moai/state/verify/t225	.moai/reports/t225/sync-audit-review-1.md	False	False
.moai/state/verify/t229-m4/pkg-cli.log	.moai/reports/t229/m4-close.md	False	False
.moai/state/verify/t229-m4/vet-darwin.log	.moai/reports/t229/m4-close.md	False	False
.moai/state/verify/t229-m4/mcp_codex.sha256	.moai/reports/t229/m4-close.md	False	False
.moai/state/verify/t229-m4/mutant-e.log	.moai/reports/t229/m4-close.md	False	False
.moai/state/verify/t230/audit-rerun-testprecommit.txt	.moai/reports/t230/sync-audit.md	False	False
.moai/state/verify/t230/audit-rerun-lint.txt	.moai/reports/t230/sync-audit.md	False	False
.moai/state/verify/t230/audit-cover.out	.moai/reports/t230/sync-audit.md	False	False
.moai/state/verify/af9f2ca2/t235-m3.log	.moai/reports/t235/verdict.md	False	False
.moai/state/verify/af9f2ca2/close-threads.sh	.moai/reports/t235/verdict.md	False	False
.moai/state/verify/t238/pre-fix-repro.md	.moai/reports/t238/cr-response.md	False	False
.moai/state/verify/af9f2ca2	.moai/reports/t279/verdict.md	False	False
.moai/state/verify/t293-dev	.moai/reports/t293/sync-audit.md	False	False
.moai/state/verify/t298-audit/vet-windows.txt	.moai/reports/t298/sync-audit.md	False	False
.moai/state/verify/t298-audit/{suite-3pkg.txt	.moai/reports/t298/sync-audit.md	False	False
.moai/state/verify/t298-audit	.moai/reports/t298/sync-audit.md	False	False
.moai/state/verify/t303/ac-battery.txt	.moai/reports/t303/run-verdict.md	True	False
.moai/state/verify/t313	.moai/reports/t313/plan-audit-iter1.md	False	False
.moai/state/verify/t316	.moai/reports/t316/run-verdict.md	False	False
.moai/state/verify/t316/spec-lint.txt	.moai/reports/t316/run-verdict.md	False	False
.moai/state/verify/t341/merged-abs/spec-lint.txt	.moai/reports/t341/merged-tree-verify.md	True	False
.moai/state/verify/lead-ci/c6aa61346-failed.log	.moai/reports/t352/verdict.md	True	False
.moai/state/verify/aad73b87/ci-48d8ef4be-failed.log	.moai/reports/t352/verdict.md	True	False
.moai/state/verify/snapshots	.moai/reports/t36/report.md	True	False
.moai/state/verify/apo-m3	.moai/specs/SPEC-AGENT-PARALLEL-OPT-001/progress.md	True	False
.moai/state/verify/atr-run/m0-test.log	.moai/specs/SPEC-AGENT-TEAM-RETIRE-001/progress.md	False	False
.moai/state/verify/atr-run/m1-test.log	.moai/specs/SPEC-AGENT-TEAM-RETIRE-001/progress.md	False	False
.moai/state/verify/atr-m3/1-gotest.log	.moai/specs/SPEC-AGENT-TEAM-RETIRE-001/progress.md	False	False
.moai/state/verify/atr-m4	.moai/specs/SPEC-AGENT-TEAM-RETIRE-001/progress.md	False	False
.moai/state/verify/t228-m2m3/lang-axis-probe.txt	.moai/specs/SPEC-ASTGREP-LANG16-001/progress.md	False	False
.moai/state/verify/agi-run	.moai/specs/SPEC-AUDIT-GATE-INTEGRITY-001/progress.md	False	False
.moai/state/verify/t326	.moai/specs/SPEC-BINARY-LAG-VISIBILITY-001/progress.md	False	False
.moai/state/verify/t326-sync/vet.txt	.moai/specs/SPEC-BINARY-LAG-VISIBILITY-001/progress.md	False	False
.moai/state/verify/t326-sync/test-3pkg.txt	.moai/specs/SPEC-BINARY-LAG-VISIBILITY-001/progress.md	False	False
.moai/state/verify/t326-sync/test-cli.txt	.moai/specs/SPEC-BINARY-LAG-VISIBILITY-001/progress.md	False	False
.moai/state/verify/b5fc437f/pref-race-50.log	.moai/specs/SPEC-CI-FLAKY-STABILIZE-001/acceptance.md	False	False
.moai/state/verify/b5fc437f/ci-30135630413-a1.log	.moai/specs/SPEC-CI-FLAKY-STABILIZE-001/plan.md	False	False
.moai/state/verify/b5fc437f/ci-30136807508-a1.log	.moai/specs/SPEC-CI-FLAKY-STABILIZE-001/plan.md	False	False
.moai/state/verify/b5fc437f/session-flock-20.log	.moai/specs/SPEC-CI-FLAKY-STABILIZE-001/plan.md	False	False
.moai/state/verify/b5fc437f	.moai/specs/SPEC-CI-FLAKY-STABILIZE-001/plan.md	False	False
.moai/state/verify/tuim	.moai/specs/SPEC-CLI-TUI-MODERNIZE-001/progress.md	False	False
.moai/state/verify/tuim/01-selftrip-030c.log	.moai/specs/SPEC-CLI-TUI-MODERNIZE-001/progress.md	False	False
.moai/state/verify/tuim/11-coverage.log	.moai/specs/SPEC-CLI-TUI-MODERNIZE-001/progress.md	False	False
.moai/state/verify/SPEC-CLI-TUX-V3-001/m1a-baseline-tui-test.log	.moai/specs/SPEC-CLI-TUX-V3-001/progress.md	True	False
