SEVERITY  CODE                        FILE                                                                                                                       LINE  MESSAGE
--------  ----                        ----                                                                                                                       ----  -------
WARNING   MovingRefUnpinned           /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AC-COUNT-DISCRIMINATOR-001/progress.md                322   `origin/develop` decides an invariant claim on this line with no SHA pin and no frozen-baseline variable, so the measurement expires the moment mainline advances. Is this ref the ANCHOR of the measurement or its SUBJECT? Apply the anchor-or-subject predicate (`.claude/rules/moai/core/verification-claim-integrity.md` §2.1), then choose among four remedies — R1 pin the resolved SHA; R2 freeze at pre-flight (`BASELINE_SHA=$(git rev-parse origin/main)`) and decide the criterion against the frozen value; R3 keep the moving ref and declare the exemption with a non-empty reason, `<!-- moving-ref-ok: <reason> -->`; R4 state the measuring command as the criterion and demote any value to a dated reference. Pinning is one branch of four, not the default. This finding is a question, not a verdict: the detector reads shape, never subject.
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       54    REQ REQ-AME-001 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       55    REQ REQ-AME-002 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       56    REQ REQ-AME-003 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       60    REQ REQ-AME-010 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       61    REQ REQ-AME-011 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       62    REQ REQ-AME-012 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       63    REQ REQ-AME-013 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       64    REQ REQ-AME-014 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       65    REQ REQ-AME-015 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       66    REQ REQ-AME-016 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       70    REQ REQ-AME-020 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       71    REQ REQ-AME-021 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       72    REQ REQ-AME-022 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       76    REQ REQ-AME-030 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       77    REQ REQ-AME-031 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       78    REQ REQ-AME-032 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       79    REQ REQ-AME-033 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       80    REQ REQ-AME-034 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       81    REQ REQ-AME-035 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t379/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       85    REQ REQ-AME-040 is not referenced by any AC
