SPEC-ID                        Frontmatter          Git-Implied          Drift?    
-------------------------------------------------------------------------------------
SPEC-ADVISOR-RUNG-001          superseded           terminal-exempt      aligned   
SPEC-AGENCY-ABSORB-001         implemented          era-exempt           aligned   
SPEC-AGENT-001                 implemented          era-exempt           aligned   
SPEC-AGENT-002                 implemented          era-exempt           aligned   
SPEC-AGENT-ARCH-V2-001         completed            completed            aligned   
SPEC-AGENT-PARALLEL-OPT-001    completed            in-progress          DRIFT     
SPEC-AGENT-PROGRESS-PUSH-001   completed            completed            aligned   
SPEC-AGENT-TEAM-RETIRE-001     completed            in-progress          DRIFT     
SPEC-AGENTS-MD-CANON-001       completed            completed            aligned   
SPEC-ALWAYS-LOADED-DIET-001    completed            implemented          DRIFT     
SPEC-ANALYZE-FIRST-ROUTING-001 completed            completed            aligned   
SPEC-ASKUSER-ENFORCE-001       implemented          era-exempt           aligned   
SPEC-ASTG-UPGRADE-001          archived             terminal-exempt      aligned   
SPEC-ASTGREP-BREADTH-001       draft                era-exempt           aligned   
SPEC-ASTGREP-DOGFOOD-CLEANUP-001 completed            implemented          DRIFT     
SPEC-ASTGREP-EDIT-001          completed            in-progress          DRIFT     
SPEC-ASTGREP-LANG16-001        in-progress          era-exempt           aligned   
SPEC-ASTGREP-MULTILANG-001     completed            completed            aligned   
SPEC-AUDIT-GATE-INTEGRITY-001  completed            completed            aligned   
SPEC-AUDIT-MULTI-MODEL-001     completed            implemented          DRIFT     
SPEC-AUTONOMY-RUN-GOAL-001     completed            completed            aligned   
SPEC-AUTONOMY-TIERS-001        completed            implemented          DRIFT     
SPEC-BRAND-DIR-REMOVE-001      completed            completed            aligned   
SPEC-CACHE-ORDER-001           archived             terminal-exempt      aligned   
SPEC-CADENCE-BRIDGE-001        completed            completed            aligned   
SPEC-CC-DOCS-ALIGNMENT-001     completed            completed            aligned   
SPEC-CC2122-HOOK-001           implemented          era-exempt           aligned   
SPEC-CC2122-HOOK-002           implemented          era-exempt           aligned   
SPEC-CC2122-MCP-001            implemented          era-exempt           aligned   
SPEC-CC2122-STATUSLINE-001     implemented          era-exempt           aligned   
SPEC-CC2178-DOCS-ALIGN-001     completed            implemented          DRIFT     
SPEC-CC2178-MODEL-POLICY-REPAIR-001 completed            completed            aligned   
SPEC-CC2178-TEAM-API-ALIGN-001 completed            in-progress          DRIFT     
SPEC-CC2186-BG-PERMISSION-RATIONALE-001 completed            completed            aligned   
SPEC-CC2219-UPSTREAM-ALIGN-001 completed            implemented          DRIFT     
SPEC-CC297-001                 implemented          era-exempt           aligned   
SPEC-CCSYNC-CLAUDEMD-001       completed            completed            aligned   
SPEC-CCSYNC-DYNWF-001          completed            completed            aligned   
SPEC-CCSYNC-TOOLCAT-001        completed            completed            aligned   
SPEC-CHAIN-CORE-001            completed            implemented          DRIFT     
SPEC-CI-FLAKE-SERIES-001       implemented          implemented          aligned   
SPEC-CI-FLAKY-STABILIZE-001    completed            completed            aligned   
SPEC-CI-LOOP-DEVONLY-001       completed            implemented          DRIFT     
SPEC-CI-MULTI-LLM-001          implemented          era-exempt           aligned   
SPEC-CICD-001                  implemented          era-exempt           aligned   
SPEC-CLAUDEMD-DIET-V2-001      completed            completed            aligned   
SPEC-CLEANUP-EVALUATOR-001     completed            completed            aligned   
SPEC-CLI-001                   completed            era-exempt           aligned   
SPEC-CLI-CLEAN-SYMLINK-001     completed            implemented          DRIFT     
SPEC-CLI-LINT-COMPLETED-001    completed            in-progress          DRIFT     
SPEC-CLI-STATE-DIR-BOUND-001   completed            in-progress          DRIFT     
SPEC-CLI-SUBPKG-SPLIT-001      completed            in-progress          DRIFT     
SPEC-CLI-TUI-MODERNIZE-001     completed            implemented          DRIFT     
SPEC-CLI-TUX-INIT-UPDATE-001   completed            implemented          DRIFT     
SPEC-CLI-TUX-V3-001            completed            in-progress          DRIFT     
SPEC-CLI-TUX-V3-002            completed            completed            aligned   
SPEC-CLI-TUX-V3-003            completed            implemented          DRIFT     
SPEC-CLI-TUX-V3-004            completed            in-progress          DRIFT     
SPEC-CLI-TUX-V3-005            completed            completed            aligned   
SPEC-CLI-UIKIT-KERNEL-001      completed            in-progress          DRIFT     
SPEC-CLI-WIZARD-RESTRUCTURE-001 completed            implemented          DRIFT     
SPEC-CLIFIX-CONCURRENCY-001    completed            in-progress          DRIFT     
SPEC-CLIFIX-CONTRACT-001       completed            completed            aligned   
SPEC-CLIFIX-CRITICAL-001       completed            completed            aligned   
SPEC-CLIFIX-HYGIENE-001        completed            completed            aligned   
SPEC-CLIFIX-LINTER-STALE-001   completed            implemented          DRIFT     
SPEC-CLOCAL-AUDIT-001          "in-progress"        era-exempt           aligned   
SPEC-CODEX-DUAL-AGENTS-001     completed            implemented          DRIFT     
SPEC-CODEX-HOOK-ADAPTER-001    completed            completed            aligned   
SPEC-CODEX-PHASE2-001          completed            completed            aligned   
SPEC-CODEX-SESSION-MSG-001     completed            implemented          DRIFT     
SPEC-CODEX-SKILLS-CANONICAL-001 completed            in-progress          DRIFT     
SPEC-CODEX-VERDICT-SYNTH-001   completed            implemented          DRIFT     
SPEC-COMPLETION-MARKER-RETIRE-001 completed            completed            aligned   
SPEC-CONFIG-001                completed            era-exempt           aligned   
SPEC-CONFIG-ATOMIC-WRITE-001   completed            in-progress          DRIFT     
SPEC-CONFIG-AUDIT-REPAIR-001   completed            implemented          DRIFT     
SPEC-CONFIG-DEAD-SWEEP-001     in-progress          era-exempt           aligned   
SPEC-CONFIG-KEY-HONESTY-001    completed            in-progress          DRIFT     
SPEC-CONFIG-MODE-MIGRATE-001   completed            in-progress          DRIFT     
SPEC-CONFIG-TIER-PERSIST-001   superseded           terminal-exempt      aligned   
SPEC-CONTEXT-ENGINE-RIGHTSIZE-001 completed            implemented          DRIFT     
SPEC-CONTEXT-INJ-001           archived             terminal-exempt      aligned   
SPEC-CORE-001                  implemented          era-exempt           aligned   
SPEC-CORE-BEHAV-001            Draft                era-exempt           aligned   
SPEC-CRON-PATTERN-001          archived             terminal-exempt      aligned   
SPEC-CURATION-001              implemented          era-exempt           aligned   
SPEC-DB-CMD-001                implemented          era-exempt           aligned   
SPEC-DB-RETIRE-001             completed            implemented          DRIFT     
SPEC-DB-SYNC-001               implemented          era-exempt           aligned   
SPEC-DB-SYNC-002               archived             terminal-exempt      aligned   
SPEC-DB-SYNC-HARDEN-001        implemented          era-exempt           aligned   
SPEC-DB-SYNC-RELOC-001         implemented          era-exempt           aligned   
SPEC-DB-TEMPLATES-001          implemented          era-exempt           aligned   
SPEC-DEAD-CONFIG-001           completed            completed            aligned   
SPEC-DEADPKG-INVESTIGATE-001   completed            implemented          DRIFT     
SPEC-DEEPIV-001                implemented          era-exempt           aligned   
SPEC-DEPLOY-RESULT-WIRE-001    completed            in-progress          DRIFT     
SPEC-DEPRECATEDPATHS-RECONCILE-001 completed            implemented          DRIFT     
SPEC-DESIGN-001                completed            era-exempt           aligned   
SPEC-DESIGN-ATTACH-001         implemented          era-exempt           aligned   
SPEC-DESIGN-DOCS-001           implemented          era-exempt           aligned   
SPEC-DESIGN-DOCS-V31-001       completed            in-progress          DRIFT     
SPEC-DESIGN-DOCSV2-001         completed            implemented          DRIFT     
SPEC-DESIGN-MOAIWEBV2-001      completed            in-progress          DRIFT     
SPEC-DESIGN-MOAIWEBV2-002      completed            implemented          DRIFT     
SPEC-DESIGN-PENCIL-001         implemented          era-exempt           aligned   
SPEC-DESKTOP-NATIVE-E2E-001    completed            completed            aligned   
SPEC-DIAGRAM-PROFILE-IMPORT-001 completed            implemented          DRIFT     
SPEC-DISCOVERY-UNKNOWNS-001    completed            completed            aligned   
SPEC-DIVECC-ATTRIBUTION-FIX-001 completed            in-progress          DRIFT     
SPEC-DIVECC-COMPACTION-LAYER-NAMING-001 completed            completed            aligned   
SPEC-DIVECC-DELEGATION-TOKEN-COST-001 completed            in-progress          DRIFT     
SPEC-DIVECC-EXTENSION-COST-LADDER-001 completed            in-progress          DRIFT     
SPEC-DIVECC-HOOK-FAILURE-MODE-AUDIT-001 completed            completed            aligned   
SPEC-DIVECC-INVENTORY-VIEW-001 completed            in-progress          DRIFT     
SPEC-DIVECC-OBSERVABILITY-LOOP-001 completed            completed            aligned   
SPEC-DIVECC-PAPER-ARCHIVE-001  completed            completed            aligned   
SPEC-DOCS-SB-REMOVE-001        implemented          era-exempt           aligned   
SPEC-DOCS-SITE-001             implemented          era-exempt           aligned   
SPEC-DOCS-V313-CATCHUP-001     completed            in-progress          DRIFT     
SPEC-DOCS-WTRGO-001            completed            in-progress          DRIFT     
SPEC-DOCSITE-ADVANCED-001      completed            completed            aligned   
SPEC-DOCSITE-E2E-001           completed            completed            aligned   
SPEC-DOCTOR-PROMOTION-001      completed            completed            aligned   
SPEC-DRIFT-001                 implemented          era-exempt           aligned   
SPEC-DWF-CODEMAPS-PILOT-001    completed            era-exempt           aligned   
SPEC-E2E-REVIVAL-001           completed            completed            aligned   
SPEC-EMBED-001                 completed            era-exempt           aligned   
SPEC-ENVKEY-ANTHROPIC-SSOT-001 completed            implemented          DRIFT     
SPEC-EPIC-STATUS-001           completed            in-progress          DRIFT     
SPEC-ERA-H3-NARROWING-001      draft                era-exempt           aligned   
SPEC-EVAL-001                  implemented          era-exempt           aligned   
SPEC-EVALLIB-001               implemented          era-exempt           aligned   
SPEC-EVIDENCE-CLAIM-INVARIANT-001 completed            era-exempt           aligned   
SPEC-EVO-001                   Draft                era-exempt           aligned   
SPEC-FACTORY-BOOTSTRAP-001     completed            in-progress          DRIFT     
SPEC-FACTORY-MODE-001          completed            implemented          DRIFT     
SPEC-FACTORY-WORKER-FANOUT-001 implemented          in-progress          DRIFT     
SPEC-FALSE-ALLCLEAR-GUARD-001  completed            implemented          DRIFT     
SPEC-FEEDBACK-AUTO-SUBMIT-001  completed            in-progress          DRIFT     
SPEC-FIX-LOOPMAP-001           completed            completed            aligned   
SPEC-FOURDIM-PHANTOM-001       completed            implemented          DRIFT     
SPEC-GATE-001                  implemented          era-exempt           aligned   
SPEC-GATE-ASTGREP-REPAIR-001   completed            completed            aligned   
SPEC-GIT-001                   completed            era-exempt           aligned   
SPEC-GITFLOW-DOCTRINE-ALIGN-001 in-progress          era-exempt           aligned   
SPEC-GITHUB-WORKFLOW           implemented          era-exempt           aligned   
SPEC-GITSTRATEGY-SAVE-ISOLATION-001 completed            completed            aligned   
SPEC-GLM-001                   implemented          era-exempt           aligned   
SPEC-GLM-EFFORT-MAX-001        completed            implemented          DRIFT     
SPEC-GLM-EFFORT-REBALANCE-001  in-progress          era-exempt           aligned   
SPEC-GLM-EFFORT-TUNE-001       completed            completed            aligned   
SPEC-GLM-FLASH-DEFAULT-001     completed            implemented          DRIFT     
SPEC-GLM-KEY-INPUT-001         completed            implemented          DRIFT     
SPEC-GLM-MCP-001               completed            era-exempt           aligned   
SPEC-GLM-MODEL-ALLOWLIST-001   completed            completed            aligned   
