round,mode,scenario,wall_s,refresh_ms
1,async,stale,2.18,skipped
1,async,fresh,0.42,skipped
1,sync,stale,8.64,6.297s
1,sync,fresh,1.38,skipped
2,async,stale,0.23,skipped
2,async,fresh,0.22,skipped
2,sync,stale,6.51,5.471s
2,sync,fresh,1.35,skipped
3,async,stale,0.28,skipped
3,async,fresh,0.27,skipped
3,sync,stale,7.16,6.024s
3,sync,fresh,1.19,skipped
4,async,stale,0.20,skipped
4,async,fresh,0.21,skipped
4,sync,stale,6.81,5.65s
4,sync,fresh,1.60,skipped
5,async,stale,0.22,skipped
5,async,fresh,0.20,skipped
5,sync,stale,8.19,6.723s
5,sync,fresh,1.31,skipped
6,async,stale,0.25,skipped
6,async,fresh,0.23,skipped
6,sync,stale,7.05,5.996s
6,sync,fresh,1.29,skipped
7,async,stale,0.19,skipped
7,async,fresh,0.22,skipped
7,sync,stale,6.83,5.805s
7,sync,fresh,1.46,skipped
8,async,stale,0.26,skipped
8,async,fresh,0.25,skipped
8,sync,stale,7.78,6.308s
8,sync,fresh,1.40,skipped
9,async,stale,0.20,skipped
9,async,fresh,0.22,skipped
9,sync,stale,7.52,6.524s
9,sync,fresh,1.28,skipped
10,async,stale,0.19,skipped
10,async,fresh,0.20,skipped
10,sync,stale,6.59,5.554s
10,sync,fresh,1.37,skipped
