ok  	github.com/modu-ai/moai-adk/internal/cli	724.379s
ok  	github.com/modu-ai/moai-adk/internal/cli/agentlint	2.293s
ok  	github.com/modu-ai/moai-adk/internal/cli/harness	11.989s
ok  	github.com/modu-ai/moai-adk/internal/cli/pr	6.314s
ok  	github.com/modu-ai/moai-adk/internal/cli/preference	1.223s
ok  	github.com/modu-ai/moai-adk/internal/cli/printer	4.185s
ok  	github.com/modu-ai/moai-adk/internal/cli/specid	3.040s
ok  	github.com/modu-ai/moai-adk/internal/cli/taskledger	5.510s
ok  	github.com/modu-ai/moai-adk/internal/cli/uikit	3.542s
ok  	github.com/modu-ai/moai-adk/internal/cli/update	0.982s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/backup	8.413s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/deploy	2.823s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/merge	1.789s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/plan	6.691s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/report	5.874s
ok  	github.com/modu-ai/moai-adk/internal/cli/wizard	11.140s
ok  	github.com/modu-ai/moai-adk/internal/cli/worktree	16.226s
EXIT=0
