ok  	github.com/modu-ai/moai-adk/internal/cli	526.766s	coverage: 80.6% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/agentlint	3.953s	coverage: 86.7% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/harness	10.706s	coverage: 80.9% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/pr	6.814s	coverage: 91.7% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/preference	4.090s	coverage: 85.8% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/printer	2.755s	coverage: 97.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/specid	0.423s	coverage: 100.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/taskledger	1.437s	coverage: 92.7% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/uikit	2.187s	coverage: 98.8% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update	7.175s	coverage: 88.9% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/backup	3.122s	coverage: 90.1% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/deploy	4.349s	coverage: 91.6% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/merge	6.467s	coverage: 92.1% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/plan	1.106s	coverage: 95.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/report	0.777s	coverage: 92.9% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/wizard	4.874s	coverage: 92.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/worktree	13.641s	coverage: 87.1% of statements
