    id  subj   msg   verdict
    t2     2     2   ONLY-IN-EXCLUDED-SUBJECTS
   t21     1     2   also in bodies
   t40     1     2   also in bodies
   t46     2     6   also in bodies
   t68     1     3   also in bodies
   t73     2     4   also in bodies
   t74     1     2   also in bodies
   t80     2     2   ONLY-IN-EXCLUDED-SUBJECTS
   t94     1     3   also in bodies
  t121     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t123     1     2   also in bodies
  t124     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t128     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t129     1     2   also in bodies
  t131     1     2   also in bodies
  t132     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t133     1     2   also in bodies
  t134     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t135     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t137     1     2   also in bodies
  t139     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t141     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t142     1     3   also in bodies
  t143     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t144     1     3   also in bodies
  t147     1     2   also in bodies
  t148     1     2   also in bodies
  t149     1     2   also in bodies
  t155     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t157     1     2   also in bodies
  t158     1     3   also in bodies
  t216     1     3   also in bodies
  t225     1     6   also in bodies
  t250     4     9   also in bodies
  t311     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t409     1     1   ONLY-IN-EXCLUDED-SUBJECTS
  t443     1    14   also in bodies
  t460     1     1   ONLY-IN-EXCLUDED-SUBJECTS
