  PID  PPID STARTED                      COMMAND
  575     1 Fri Aug 28 11:33:48 2026     /Library/Application Support/Logitech.localized/LogiOptionsPlus/logioptionsplus_agent.app/Contents/Frameworks/logioptionsplus_updater.app/Contents/MacOS/logioptionsplus_updater
 5817     1 Fri Aug 28 11:34:14 2026     /Library/Application Support/Logitech.localized/LogiRightSightForWebcams/LogiRightSight.app/Contents/MacOS/LogiRightSight
 5823     1 Fri Aug 28 11:34:14 2026     /Library/Application Support/Logitech.localized/LogiOptionsPlus/logioptionsplus_agent.app/Contents/MacOS/logioptionsplus_agent --launchd
 7662 82203 Fri Sep  4 15:13:26 2026     uv run --directory ./mcp-servers/moai-mcp-cafe24 moai-mcp-cafe24
 7664 82203 Fri Sep  4 15:13:26 2026     uv run --directory ./mcp-servers/moai-mcp-imweb moai-mcp-imweb
 7679 82203 Fri Sep  4 15:13:26 2026     uv run --directory ./mcp-servers/moai-mcp-smartstore moai-mcp-smartstore
 7684 82203 Fri Sep  4 15:13:26 2026     uv run --directory ./mcp-servers/moai-mcp-threads-poster moai-mcp-threads-poster
 7685  7662 Fri Sep  4 15:13:26 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-cafe24/.venv/bin/moai-mcp-cafe24
 7686  7664 Fri Sep  4 15:13:26 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-imweb/.venv/bin/moai-mcp-imweb
 7690  7679 Fri Sep  4 15:13:26 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-seller/1.3.0/mcp-servers/moai-mcp-smartstore/.venv/bin/moai-mcp-smartstore
 7692  7684 Fri Sep  4 15:13:26 2026     /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/python /Users/goos/.codex/plugins/cache/moai-cowork/moai-threads-poster/1.4.0/mcp-servers/moai-mcp-threads-poster/.venv/bin/moai-mcp-threads-poster
21221 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-smartstore moai-mcp-smartstore
21222 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-imweb moai-mcp-imweb
21226 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-threads-poster moai-mcp-threads-poster
21227 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-cafe24 moai-mcp-cafe24
21230 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-threads-poster moai-mcp-threads-poster
21234 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-smartstore moai-mcp-smartstore
21264 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-cafe24 moai-mcp-cafe24
21268 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-imweb moai-mcp-imweb
21269 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-smartstore moai-mcp-smartstore
21272 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-threads-poster moai-mcp-threads-poster
21274 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-imweb moai-mcp-imweb
21275 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-imweb moai-mcp-imweb
21276 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-cafe24 moai-mcp-cafe24
21281 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-cafe24 moai-mcp-cafe24
21282 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-smartstore moai-mcp-smartstore
21283 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-threads-poster moai-mcp-threads-poster
21288 82203 Thu Sep  3 17:07:48 2026     uv run --directory ./mcp-servers/moai-mcp-cafe24 moai-mcp-cafe24
21293 82203 Thu Sep  3 17:07:49 2026     uv run --directory ./mcp-servers/moai-mcp-smartstore moai-mcp-smartstore
21294 82203 Thu Sep  3 17:07:49 2026     uv run --directory ./mcp-servers/moai-mcp-imweb moai-mcp-imweb
21296 82203 Thu Sep  3 17:07:49 2026     uv run --directory ./mcp-servers/moai-mcp-threads-poster moai-mcp-threads-poster
21297 82203 Thu Sep  3 17:07:49 2026     uv run --directory ./mcp-servers/moai-mcp-smartstore moai-mcp-smartstore
21298 82203 Thu Sep  3 17:07:49 2026     uv run --directory ./mcp-servers/moai-mcp-threads-poster moai-mcp-threads-poster
21299 82203 Thu Sep  3 17:07:49 2026     uv run --directory ./mcp-servers/moai-mcp-imweb moai-mcp-imweb
21305 82203 Thu Sep  3 17:07:49 2026     uv run --directory ./mcp-servers/moai-mcp-cafe24 moai-mcp-cafe24
