  PID  PPID STARTED                          ELAPSED COMMAND
    1     0 Fri Aug 28 11:33:13 2026     07-06:46:35 /sbin/launchd
  196     1 Thu Sep  3 12:54:47 2026     01-05:25:01 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
  324     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/logd
  325     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/smd
  326     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/UserEventAgent (System)
  328     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
  329     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
  332     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/sbin/systemstats --daemon
  334     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/Support/accessoryupdaterd 120
  335     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/uarpassetmanagerd
  336     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/configd
  337     1 Fri Aug 28 11:33:42 2026     07-06:46:06 endpointsecurityd
  338     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/CoreServices/powerd.bundle/powerd
  339     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/IOMFB_bics_daemon
  341     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/amfid
  343     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/remoted
  345     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/keybagd -t 15
  346     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
  347     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
  349     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/watchdogd
  353     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
  354     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/CoreServices/iconservicesd
  355     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/kernelmanagerd
  356     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/diskarbitrationd
  359     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/coreduetd
  360     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/sbin/syslogd
  362     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/thermalmonitord
  363     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
  364     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/xprotectd
  365     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/opendirectoryd
  366     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
  367     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/CoreServices/launchservicesd
  368     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/timed
  369     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
  370     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/sbin/securityd -i
  372     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/locationd
  373     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/nesessionmanager
  375     1 Fri Aug 28 11:33:42 2026     07-06:46:06 autofsd
  376     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/dasd
  377     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/Heimdal.framework/Helpers/kdc
  378     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/corerepaird
  380     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/sbin/distnoted daemon
  381     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/AppleCredentialManager.framework/AppleCredentialManagerDaemon
  384     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/CoreServices/logind
  385     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
  386     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/sbin/KernelEventAgent
  388     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/usermanagerd -t 15
  390     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/sbin/bluetoothd
  391     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/sbin/notifyd
  392     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/sandboxd
  393     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/corebrightnessd --launchd
  394     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /usr/libexec/AirPlayXPCHelper
  395     1 Fri Aug 28 11:33:42 2026     07-06:46:06 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
  396     1 Fri Aug 28 11:33:42 2026     07-06:46:06 aslmanager
  397     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/libexec/logd_helper
  398     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
  399     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
  400     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/sbin/cfprefsd daemon
  401     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
  402     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/libexec/powerexperienced
  403     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/libexec/fskitd
  404     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /System/Library/CoreServices/coreservicesd
  405     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/libexec/runningboardd
  406     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/libexec/trustd
  407     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/sbin/coreaudiod
  408     1 Fri Aug 28 11:33:43 2026     07-06:46:05 /usr/libexec/securityd_system
