ok  	github.com/modu-ai/moai-adk/internal/cli	387.341s
ok  	github.com/modu-ai/moai-adk/internal/cli/agentlint	3.849s
ok  	github.com/modu-ai/moai-adk/internal/cli/harness	9.084s
ok  	github.com/modu-ai/moai-adk/internal/cli/pr	2.454s
ok  	github.com/modu-ai/moai-adk/internal/cli/preference	1.381s
ok  	github.com/modu-ai/moai-adk/internal/cli/printer	4.780s
ok  	github.com/modu-ai/moai-adk/internal/cli/specid	3.432s
ok  	github.com/modu-ai/moai-adk/internal/cli/taskledger	0.814s
ok  	github.com/modu-ai/moai-adk/internal/cli/uikit	5.999s
ok  	github.com/modu-ai/moai-adk/internal/cli/update	4.861s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/backup	5.779s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/deploy	4.256s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/merge	1.195s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/plan	2.775s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/report	3.111s
ok  	github.com/modu-ai/moai-adk/internal/cli/wizard	8.037s
ok  	github.com/modu-ai/moai-adk/internal/cli/worktree	8.974s
