ok  	github.com/modu-ai/moai-adk/internal/cli	424.081s
ok  	github.com/modu-ai/moai-adk/internal/cli/agentlint	0.407s
ok  	github.com/modu-ai/moai-adk/internal/cli/harness	10.208s
ok  	github.com/modu-ai/moai-adk/internal/cli/pr	2.294s
ok  	github.com/modu-ai/moai-adk/internal/cli/preference	3.488s
ok  	github.com/modu-ai/moai-adk/internal/cli/printer	0.970s
ok  	github.com/modu-ai/moai-adk/internal/cli/specid	3.720s
ok  	github.com/modu-ai/moai-adk/internal/cli/taskledger	5.127s
ok  	github.com/modu-ai/moai-adk/internal/cli/uikit	4.112s
ok  	github.com/modu-ai/moai-adk/internal/cli/update	5.856s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/backup	5.678s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/deploy	3.303s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/merge	1.154s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/plan	6.178s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/report	4.800s
ok  	github.com/modu-ai/moai-adk/internal/cli/wizard	7.297s
ok  	github.com/modu-ai/moai-adk/internal/cli/worktree	9.885s
ok  	github.com/modu-ai/moai-adk/internal/kanban	147.688s
