SEVERITY  CODE                        FILE                                                                                                                       LINE  MESSAGE
--------  ----                        ----                                                                                                                       ----  -------
WARNING   MovingRefUnpinned           /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AC-COUNT-DISCRIMINATOR-001/progress.md                322   `origin/develop` decides an invariant claim on this line with no SHA pin and no frozen-baseline variable, so the measurement expires the moment mainline advances. Is this ref the ANCHOR of the measurement or its SUBJECT? Apply the anchor-or-subject predicate (`.claude/rules/moai/core/verification-claim-integrity.md` §2.1), then choose among four remedies — R1 pin the resolved SHA; R2 freeze at pre-flight (`BASELINE_SHA=$(git rev-parse origin/main)`) and decide the criterion against the frozen value; R3 keep the moving ref and declare the exemption with a non-empty reason, `<!-- moving-ref-ok: <reason> -->`; R4 state the measuring command as the criterion and demote any value to a dated reference. Pinning is one branch of four, not the default. This finding is a question, not a verdict: the detector reads shape, never subject.
WARNING   ModalityMalformed           /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        24    REQ REQ-ASE-001: EARS modality violation — SHALL missing or format mismatch: "The amendment payloads A1–A5 defined in"
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        24    REQ REQ-ASE-001 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        28    REQ REQ-ASE-002 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        33    REQ REQ-ASE-003 is not referenced by any AC
WARNING   StatusTransitionInvalid     /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENCY-ABSORB-001/spec.md                             1     SPEC SPEC-AGENCY-ABSORB-001 status transition "completed" → "implemented" is not a canonical lifecycle edge (commit ce779f9ee1a64190c31059eb61b6d7ec84ced20b)
WARNING   StatusTransitionInvalid     /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-002/spec.md                                     1     SPEC SPEC-AGENT-002 status transition "completed" → "implemented" is not a canonical lifecycle edge (commit ce779f9ee1a64190c31059eb61b6d7ec84ced20b)
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        156   REQ REQ-AM-001 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        164   REQ REQ-AM-002 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        167   REQ REQ-AM-003 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        170   REQ REQ-AM-004 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        174   REQ REQ-AM-005 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        177   REQ REQ-AM-006 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        182   REQ REQ-AM-007 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        186   REQ REQ-AM-008 is not referenced by any AC
WARNING   CoverageIncomplete          /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t518/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        188   REQ REQ-AM-009 is not referenced by any AC
