SEVERITY  CODE                           FILE                                                                                                                       LINE  MESSAGE
--------  ----                           ----                                                                                                                       ----  -------
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AC-COLLECTOR-ANCHOR-001/spec.md                       338   REQ REQ-ACA-001-015 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AC-COLLECTOR-ANCHOR-001/spec.md                       339   REQ REQ-ACA-001-016 is not referenced by any AC
WARNING   REQTableRowsRejected           /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AC-COUNT-DISCRIMINATOR-001/spec.md                    349   table NOT read as a requirement-definition table (rejected_rows=8): rows here carry a leading REQ ID but none of the modality markers the discriminator keys on (SHALL / 해야 한다 / 해서는 안 된다), so they were not collected. This is NOT a claim that those rows are malformed — it is what keeps "no requirement here" and "not collected here" distinguishable in this output. Counted per table, not per row.
WARNING   MovingRefUnpinned              /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AC-COUNT-DISCRIMINATOR-001/progress.md                322   `origin/develop` decides an invariant claim on this line with no SHA pin and no frozen-baseline variable, so the measurement expires the moment mainline advances. Is this ref the ANCHOR of the measurement or its SUBJECT? Apply the anchor-or-subject predicate (`.claude/rules/moai/core/verification-claim-integrity.md` §2.1), then choose among four remedies — R1 pin the resolved SHA; R2 freeze at pre-flight (`BASELINE_SHA=$(git rev-parse origin/main)`) and decide the criterion against the frozen value; R3 keep the moving ref and declare the exemption with a non-empty reason, `<!-- moving-ref-ok: <reason> -->`; R4 state the measuring command as the criterion and demote any value to a dated reference. Pinning is one branch of four, not the default. This finding is a question, not a verdict: the detector reads shape, never subject.
WARNING   ModalityMalformed              /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        24    REQ REQ-ASE-001: EARS modality violation — SHALL missing or format mismatch: "The amendment payloads A1–A5 defined in"
WARNING   ModalityUnjudged               /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        28    REQ REQ-ASE-002: modality NOT JUDGED — the text opens with none of the English modality keywords (WHEN/WHILE/WHERE/IF/THE) and carries no SHALL token, so this linter has no opinion about it. This is NOT a claim that the requirement is malformed, and it is NOT a claim that it is well formed: "**When** the strip-aware mirror check"
WARNING   ModalityUnjudged               /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        33    REQ REQ-ASE-003: modality NOT JUDGED — the text opens with none of the English modality keywords (WHEN/WHILE/WHERE/IF/THE) and carries no SHALL token, so this linter has no opinion about it. This is NOT a claim that the requirement is malformed, and it is NOT a claim that it is well formed: "**When**"
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        24    REQ REQ-ASE-001 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        28    REQ REQ-ASE-002 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-ACHWD-STRIP-EXEMPT-001/spec.md                        33    REQ REQ-ASE-003 is not referenced by any AC
INFO      OwnershipTransitionUnmeasured  /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-ADVISOR-RUNG-001/spec.md                              1     SPEC SPEC-ADVISOR-RUNG-001 transition "draft" → "superseded" expected owner "manager-spec" but commit 9f30734246bb47b043e98f44967ac4397f1fc618 (feat(SPEC-AGENT-ARCH-V2-001): supersedes SPEC-ADVISOR-RUNG-001 + SPEC-MODEL-ROUTING-WIRE-001) has no Authored-By-Agent trailer — ownership transition unmeasured
WARNING   StatusTransitionInvalid        /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENCY-ABSORB-001/spec.md                             1     SPEC SPEC-AGENCY-ABSORB-001 status transition "completed" → "implemented" is not a canonical lifecycle edge (commit ce779f9ee1a64190c31059eb61b6d7ec84ced20b)
INFO      OwnershipTransitionUnmeasured  /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-001/spec.md                                     1     SPEC SPEC-AGENT-001 transition "planned" → "implemented" expected owner "manager-develop" but commit 0497f62104e7c4421f080700a825c0cf3456182f (feat(specs): SPEC-V3R4-SPECLINT-DEBT-001 spec-lint debt 일괄 해소 (66 ERROR + 141 WARNING → 0/0) (#917)) has no Authored-By-Agent trailer — ownership transition unmeasured
WARNING   StatusTransitionInvalid        /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-002/spec.md                                     1     SPEC SPEC-AGENT-002 status transition "completed" → "implemented" is not a canonical lifecycle edge (commit ce779f9ee1a64190c31059eb61b6d7ec84ced20b)
WARNING   REQTableRowsRejected           /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-EMIT-LINEAGE-001/spec.md                        91    table NOT read as a requirement-definition table (rejected_rows=7): rows here carry a leading REQ ID but none of the modality markers the discriminator keys on (SHALL / 해야 한다 / 해서는 안 된다), so they were not collected. This is NOT a claim that those rows are malformed — it is what keeps "no requirement here" and "not collected here" distinguishable in this output. Counted per table, not per row.
WARNING   ModalityUnjudged               /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        164   REQ REQ-AM-002: modality NOT JUDGED — the text opens with none of the English modality keywords (WHEN/WHILE/WHERE/IF/THE) and carries no SHALL token, so this linter has no opinion about it. This is NOT a claim that the requirement is malformed, and it is NOT a claim that it is well formed: "**When** a Write or Edit tool call targets a `.md` file"
WARNING   ModalityUnjudged               /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        170   REQ REQ-AM-004: modality NOT JUDGED — the text opens with none of the English modality keywords (WHEN/WHILE/WHERE/IF/THE) and carries no SHALL token, so this linter has no opinion about it. This is NOT a claim that the requirement is malformed, and it is NOT a claim that it is well formed: "**When** a mirrored or drained topic file has no index"
WARNING   ModalityUnjudged               /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        174   REQ REQ-AM-005: modality NOT JUDGED — the text opens with none of the English modality keywords (WHEN/WHILE/WHERE/IF/THE) and carries no SHALL token, so this linter has no opinion about it. This is NOT a claim that the requirement is malformed, and it is NOT a claim that it is well formed: "**While** the primary checkout cannot be resolved or a"
WARNING   ModalityUnjudged               /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        177   REQ REQ-AM-006: modality NOT JUDGED — the text opens with none of the English modality keywords (WHEN/WHILE/WHERE/IF/THE) and carries no SHALL token, so this linter has no opinion about it. This is NOT a claim that the requirement is malformed, and it is NOT a claim that it is well formed: "**While** the session's project root is the primary"
WARNING   ModalityUnjudged               /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MEMORY-DRAIN-001/spec.md                        186   REQ REQ-AM-008: modality NOT JUDGED — the text opens with none of the English modality keywords (WHEN/WHILE/WHERE/IF/THE) and carries no SHALL token, so this linter has no opinion about it. This is NOT a claim that the requirement is malformed, and it is NOT a claim that it is well formed: "**Where** `moai memory drain` runs without"
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       54    REQ REQ-AME-001 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       55    REQ REQ-AME-002 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       56    REQ REQ-AME-003 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       60    REQ REQ-AME-010 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       61    REQ REQ-AME-011 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       62    REQ REQ-AME-012 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       63    REQ REQ-AME-013 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       64    REQ REQ-AME-014 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       65    REQ REQ-AME-015 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       66    REQ REQ-AME-016 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       70    REQ REQ-AME-020 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       71    REQ REQ-AME-021 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       72    REQ REQ-AME-022 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       76    REQ REQ-AME-030 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       77    REQ REQ-AME-031 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       78    REQ REQ-AME-032 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       79    REQ REQ-AME-033 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       80    REQ REQ-AME-034 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       81    REQ REQ-AME-035 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       85    REQ REQ-AME-040 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       86    REQ REQ-AME-041 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       87    REQ REQ-AME-042 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       88    REQ REQ-AME-043 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       92    REQ REQ-AME-050 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       93    REQ REQ-AME-051 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       94    REQ REQ-AME-052 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       95    REQ REQ-AME-053 is not referenced by any AC
WARNING   CoverageIncomplete             /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-MODEL-ENFORCE-001/spec.md                       96    REQ REQ-AME-054 is not referenced by any AC
WARNING   MovingRefUnpinned              /Users/goos/MoAI/moai-adk-go/.claude/worktrees/t525/.moai/specs/SPEC-AGENT-PARALLEL-OPT-001/plan.md                        91    `origin/main` decides an invariant claim on this line with no SHA pin and no frozen-baseline variable, so the measurement expires the moment mainline advances. Is this ref the ANCHOR of the measurement or its SUBJECT? Apply the anchor-or-subject predicate (`.claude/rules/moai/core/verification-claim-integrity.md` §2.1), then choose among four remedies — R1 pin the resolved SHA; R2 freeze at pre-flight (`BASELINE_SHA=$(git rev-parse origin/main)`) and decide the criterion against the frozen value; R3 keep the moving ref and declare the exemption with a non-empty reason, `<!-- moving-ref-ok: <reason> -->`; R4 state the measuring command as the criterion and demote any value to a dated reference. Pinning is one branch of four, not the default. This finding is a question, not a verdict: the detector reads shape, never subject.
