ok  	github.com/modu-ai/moai-adk/internal/cli	468.652s	coverage: 81.4% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/agentlint	4.400s	coverage: 86.7% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/harness	10.775s	coverage: 80.9% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/pr	6.467s	coverage: 91.7% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/preference	4.551s	coverage: 85.8% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/printer	4.175s	coverage: 97.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/specid	4.572s	coverage: 100.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/taskledger	3.238s	coverage: 92.7% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/uikit	2.163s	coverage: 98.8% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update	6.095s	coverage: 88.9% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/backup	5.593s	coverage: 90.1% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/deploy	3.029s	coverage: 91.6% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/merge	1.765s	coverage: 92.1% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/plan	2.490s	coverage: 95.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/update/report	0.359s	coverage: 92.9% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/wizard	8.988s	coverage: 92.0% of statements
ok  	github.com/modu-ai/moai-adk/internal/cli/worktree	12.213s	coverage: 87.1% of statements
