ok  	github.com/modu-ai/moai-adk/internal/cli	464.928s
ok  	github.com/modu-ai/moai-adk/internal/cli/agentlint	5.093s
ok  	github.com/modu-ai/moai-adk/internal/cli/harness	8.908s
ok  	github.com/modu-ai/moai-adk/internal/cli/pr	0.763s
ok  	github.com/modu-ai/moai-adk/internal/cli/preference	1.298s
ok  	github.com/modu-ai/moai-adk/internal/cli/printer	1.359s
ok  	github.com/modu-ai/moai-adk/internal/cli/specid	2.531s
ok  	github.com/modu-ai/moai-adk/internal/cli/taskledger	2.219s
ok  	github.com/modu-ai/moai-adk/internal/cli/uikit	3.674s
ok  	github.com/modu-ai/moai-adk/internal/cli/update	4.326s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/backup	3.107s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/deploy	4.758s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/merge	6.195s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/plan	5.373s
ok  	github.com/modu-ai/moai-adk/internal/cli/update/report	3.986s
ok  	github.com/modu-ai/moai-adk/internal/cli/wizard	8.528s
ok  	github.com/modu-ai/moai-adk/internal/cli/worktree	9.335s
exit=0
