n-enabled	settings check deleted	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.79s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-enabled (0.40s)']
n-match	pattern check deleted	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.98s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-match (0.45s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-quoted (0.49s)']
n-quoted	quote scrub deleted	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.83s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-quoted (0.51s)']
n-self	session comparison deleted	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.64s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-self (0.40s)']
n-alive	liveness check deleted	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.64s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-alive (0.39s)']
n-bound	expiry check deleted	exit=1	restored_cmp_equal=True	fails=[]
n-held	holder-present check deleted	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.51s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-held (0.41s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/multi (0.39s)']
multi	only the first attributed resource is judged	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.47s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/multi (0.40s)']
ac016-no-normalize	root normalization removed (records read from the hook root)	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_NormalizesWorktreeRootToPrimary (0.54s)', '--- FAIL: TestSlotLeaseGuard_NormalizesWorktreeRootToPrimary/wt-deny (0.00s)', '--- FAIL: TestSlotLeaseGuard_NormalizesWorktreeRootToPrimary/no-git (0.00s)']
ac016-fallthrough	normalization failure falls through to the unnormalized root	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_NormalizesWorktreeRootToPrimary (0.57s)', '--- FAIL: TestSlotLeaseGuard_NormalizesWorktreeRootToPrimary/no-git (0.02s)']
n-bound	expiry check disabled	exit=1	restored_cmp_equal=True	fails=['--- FAIL: TestSlotLeaseGuard_DenyMatrix (3.60s)', '--- FAIL: TestSlotLeaseGuard_DenyMatrix/n-bound (0.38s)']
