old_id	new_id
t10	t709
t6	t710
t7	t711
t18	t712
t87	t713
t90	t714
t125	t715
t154	t716
t177	t717
t204	t718
t226	t719
t245	t720
t247	t721
t251	t722
t256	t723
t258	t724
t275	t725
t277	t726
t285	t727
t307	t728
t309	t729
t312	t730
t320	t731
t328	t732
t363	t733
t402	t734
t445	t735
t455	t736
t521	t737
t522	t738
t523	t739
t525	t740
t529	t741
t530	t742
t542	t743
t547	t744
t553	t745
t560	t746
t565	t747
t566	t748
t567	t749
t568	t750
t575	t751
t578	t752
t583	t753
t584	t754
t585	t755
t586	t756
t587	t757
t588	t758
t591	t759
t592	t760
t594	t761
t595	t762
t596	t763
t597	t764
t598	t765
t599	t766
t600	t767
t601	t768
t602	t769
t603	t770
t604	t771
t605	t772
t606	t773
t607	t774
t608	t775
t614	t776
t616	t777
t618	t778
t619	t779
t620	t780
t621	t781
t622	t782
t624	t783
t626	t784
t627	t785
t629	t786
t630	t787
t632	t788
t633	t789
t634	t790
t635	t791
t636	t792
t637	t793
t638	t794
t639	t795
t640	t796
t642	t797
t644	t798
t645	t799
t646	t800
t648	t801
t649	t802
t650	t803
t651	t804
t652	t805
t653	t806
t654	t807
t655	t808
t656	t809
t658	t810
t659	t811
t660	t812
t661	t813
t558	t814
t576	t815
t609	t816
t612	t817
t611	t818
t581	t819
t549	t820
t582	t821
t579	t822
t615	t823
t617	t824
t610	t825
t623	t826
t643	t827
t625	t828
t647	t829
t613	t830
t631	t831
t628	t832
t641	t833
t657	t834
