ok  	github.com/modu-ai/moai-adk/internal/hook	192.151s
ok  	github.com/modu-ai/moai-adk/internal/hook/handoff	23.745s
ok  	github.com/modu-ai/moai-adk/internal/hook/memo	2.614s
ok  	github.com/modu-ai/moai-adk/internal/hook/memo/taxonomy	0.740s
ok  	github.com/modu-ai/moai-adk/internal/hook/mx	22.625s
ok  	github.com/modu-ai/moai-adk/internal/hook/mx/complexity	1.063s
ok  	github.com/modu-ai/moai-adk/internal/hook/perf	55.322s
ok  	github.com/modu-ai/moai-adk/internal/hook/quality	35.213s
ok  	github.com/modu-ai/moai-adk/internal/hook/security	18.841s
ok  	github.com/modu-ai/moai-adk/internal/hook/testutil	4.149s
ok  	github.com/modu-ai/moai-adk/internal/hook/trace	3.464s
